Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-11-10,144.84,146.63,144.4,145.75,2905155.0,0.0,1.0,144.84,146.63,144.4,145.75,2905155.0
2017-11-13,145.67,146.989,145.25,146.72,2014147.0,0.0,1.0,145.67,146.989,145.25,146.72,2014147.0
2017-11-14,146.1,147.6,145.75,147.32,2311421.0,0.0,1.0,146.1,147.6,145.75,147.32,2311421.0
2017-11-15,146.68,147.43,146.21,146.37,2518975.0,0.0,1.0,146.68,147.43,146.21,146.37,2518975.0
2017-11-16,146.32,147.19,146.01,146.88,2208885.0,0.0,1.0,146.32,147.19,146.01,146.88,2208885.0
2017-11-17,146.38,146.999,146.2,146.49,1633922.0,0.0,1.0,146.38,146.999,146.2,146.49,1633922.0
2017-11-20,146.42,148.3,146.42,147.94,3553386.0,0.0,1.0,146.42,148.3,146.42,147.94,3553386.0
2017-11-21,148.25,149.68,148.25,149.35,3028247.0,0.0,1.0,148.25,149.68,148.25,149.35,3028247.0
2017-11-22,149.49,149.81,148.78,148.99,1815395.0,0.0,1.0,149.49,149.81,148.78,148.99,1815395.0
2017-11-24,149.37,150.43,149.285,149.66,1196256.0,0.0,1.0,149.37,150.43,149.285,149.66,1196256.0
2017-11-27,149.91,151.1,149.71,150.43,2267216.0,0.0,1.0,149.91,151.1,149.71,150.43,2267216.0
2017-11-28,151.07,153.13,151.02,152.76,3637844.0,0.0,1.0,151.07,153.13,151.02,152.76,3637844.0
2017-11-29,153.05,153.56,152.39,153.24,3324003.0,0.0,1.0,153.05,153.56,152.39,153.24,3324003.0
2017-11-30,153.93,156.7,153.43,155.96,5610850.0,0.0,1.0,153.93,156.7,153.43,155.96,5610850.0
2017-12-01,155.7,156.28,152.88,154.4,3010374.0,0.0,1.0,155.7,156.28,152.88,154.4,3010374.0
2017-12-04,155.82,156.19,153.77,153.77,3247999.0,0.0,1.0,155.82,156.19,153.77,153.77,3247999.0
2017-12-05,153.82,154.82,153.02,153.06,2574839.0,0.0,1.0,153.82,154.82,153.02,153.06,2574839.0
2017-12-06,153.29,153.74,152.81,153.0,2887212.0,0.0,1.0,153.29,153.74,152.81,153.0,2887212.0
2017-12-07,153.0,153.79,152.83,153.28,2039206.0,0.0,1.0,153.0,153.79,152.83,153.28,2039206.0
2017-12-08,153.91,154.11,153.07,153.66,1468060.0,0.0,1.0,153.91,154.11,153.07,153.66,1468060.0
2017-12-11,153.65,153.92,152.94,153.21,3609123.0,0.0,1.0,153.65,153.92,152.94,153.21,3609123.0
2017-12-12,153.41,154.62,153.0,153.74,2802998.0,0.0,1.0,153.41,154.62,153.0,153.74,2802998.0
2017-12-13,153.45,156.53,153.12,155.8,5045451.0,0.0,1.0,153.45,156.53,153.12,155.8,5045451.0
2017-12-14,156.1,156.43,153.1673,153.23,3139711.0,0.0,1.0,156.1,156.43,153.1673,153.23,3139711.0
2017-12-15,154.025,154.64,153.58,154.25,3820766.0,0.0,1.0,154.025,154.64,153.58,154.25,3820766.0
2017-12-18,154.92,155.3096,154.0,154.59,3574814.0,0.0,1.0,154.92,155.3096,154.0,154.59,3574814.0
2017-12-19,155.15,155.42,154.02,154.11,4246516.0,0.0,1.0,155.15,155.42,154.02,154.11,4246516.0
2017-12-20,154.89,155.19,154.1,154.73,3043764.0,0.0,1.0,154.89,155.19,154.1,154.73,3043764.0
2017-12-21,155.15,155.27,153.5,153.72,4803479.0,0.0,1.0,155.15,155.27,153.5,153.72,4803479.0
2017-12-22,153.99,154.29,153.13,153.49,2073937.0,0.0,1.0,153.99,154.29,153.13,153.49,2073937.0
2017-12-26,153.45,154.4327,153.45,153.76,1407353.0,0.0,1.0,153.45,154.4327,153.45,153.76,1407353.0
2017-12-27,154.03,154.095,153.32,153.95,1745898.0,0.0,1.0,154.03,154.095,153.32,153.95,1745898.0
2017-12-28,154.01,154.39,153.63,154.13,1654075.0,0.0,1.0,154.01,154.39,153.63,154.13,1654075.0
2017-12-29,154.37,154.7197,153.36,153.36,1660893.0,0.0,1.0,154.37,154.7197,153.36,153.36,1660893.0
2018-01-02,153.82,154.0,152.711,153.71,2494944.0,0.0,1.0,153.82,154.0,152.711,153.71,2494944.0
2018-01-03,152.9,153.6,151.8,152.44,6322984.0,0.0,1.0,152.9,153.6,151.8,152.44,6322984.0
2018-01-04,152.81,154.5,152.71,154.5,4484867.0,0.0,1.0,152.81,154.5,152.71,154.5,4484867.0
2018-01-05,154.98,156.25,154.51,155.58,2408389.0,0.0,1.0,154.98,156.25,154.51,155.58,2408389.0
2018-01-08,156.0,156.1397,154.23,154.74,2738932.0,0.0,1.0,156.0,156.1397,154.23,154.74,2738932.0
2018-01-09,155.01,156.7715,154.81,156.01,3390251.0,0.0,1.0,155.01,156.7715,154.81,156.01,3390251.0
2018-01-10,156.17,157.12,155.02,157.09,2562096.0,0.0,1.0,156.17,157.12,155.02,157.09,2562096.0
2018-01-11,157.12,158.0,157.01,157.92,2327042.0,0.0,1.0,157.12,158.0,157.01,157.92,2327042.0
2018-01-12,158.58,159.49,157.8,159.07,2343640.0,0.0,1.0,158.58,159.49,157.8,159.07,2343640.0
2018-01-16,159.14,159.85,157.28,157.89,3311266.0,0.0,1.0,159.14,159.85,157.28,157.89,3311266.0
2018-01-17,157.69,158.95,157.451,158.41,3156137.0,0.0,1.0,157.69,158.95,157.451,158.41,3156137.0
2018-01-18,158.9,159.65,157.77,157.78,2565954.0,0.0,1.0,158.9,159.65,157.77,157.78,2565954.0
2018-01-19,158.41,158.7,157.6,158.69,3752500.0,0.0,1.0,158.41,158.7,157.6,158.69,3752500.0
2018-01-22,158.7,158.97,158.01,158.54,2375803.0,0.0,1.0,158.7,158.97,158.01,158.54,2375803.0
2018-01-23,158.99,160.34,158.76,159.59,3755282.0,0.0,1.0,158.99,160.34,158.76,159.59,3755282.0
2018-01-24,160.23,160.62,159.13,159.97,2630955.0,0.0,1.0,160.23,160.62,159.13,159.97,2630955.0
2018-01-25,160.6,161.89,159.67,161.84,4061695.0,0.0,1.0,160.6,161.89,159.67,161.84,4061695.0
2018-01-26,162.71,165.1,161.0,164.99,4940521.0,0.0,1.0,162.71,165.1,161.0,164.99,4940521.0
2018-01-29,164.85,165.13,161.4,161.47,3585327.0,0.0,1.0,164.85,165.13,161.4,161.47,3585327.0
2018-01-30,160.35,161.0,158.01,158.97,3790222.0,0.0,1.0,160.35,161.0,158.01,158.97,3790222.0
2018-01-31,159.99,160.53,159.3,159.67,3259095.0,0.0,1.0,159.99,160.53,159.3,159.67,3259095.0
2018-02-01,159.0,160.81,158.4215,159.65,2738924.0,0.0,1.0,159.0,160.81,158.4215,159.65,2738924.0
2018-02-02,158.69,159.5114,156.39,156.65,4175055.0,0.0,1.0,158.69,159.5114,156.39,156.65,4175055.0
2018-02-05,155.45,157.5152,146.99,150.17,5666774.0,0.0,1.0,155.45,157.5152,146.99,150.17,5666774.0
2018-02-06,147.68,152.435,147.19,151.4,5299087.0,0.0,1.0,147.68,152.435,147.19,151.4,5299087.0
2018-02-07,151.39,154.53,151.01,151.19,3003078.0,0.0,1.0,151.39,154.53,151.01,151.19,3003078.0
2018-02-08,151.49,151.49,145.72,146.02,3334297.0,0.0,1.0,151.49,151.49,145.72,146.02,3334297.0
2018-02-09,147.02,149.31,143.85,147.9,5389510.0,0.0,1.0,147.02,149.31,143.85,147.9,5389510.0
2018-02-12,149.04,150.63,147.08,149.47,3297423.0,0.0,1.0,149.04,150.63,147.08,149.47,3297423.0
2018-02-13,148.86,149.45,148.1,148.5,2811100.0,0.0,1.0,148.86,149.45,148.1,148.5,2811100.0
2018-02-14,147.81,150.77,147.0459,150.38,2954457.0,0.0,1.0,147.81,150.77,147.0459,150.38,2954457.0
2018-02-15,151.58,153.8625,150.79,153.42,3630453.0,0.0,1.0,151.58,153.8625,150.79,153.42,3630453.0
2018-02-16,153.09,155.03,152.79,154.03,2776396.0,0.0,1.0,153.09,155.03,152.79,154.03,2776396.0
2018-02-20,152.91,155.32,152.561,154.34,3695310.0,0.0,1.0,152.91,155.32,152.561,154.34,3695310.0
2018-02-21,154.98,156.86,154.03,154.05,4050846.0,0.0,1.0,154.98,156.86,154.03,154.05,4050846.0
2018-02-22,154.01,154.8,152.79,153.31,2221779.0,0.0,1.0,154.01,154.8,152.79,153.31,2221779.0
2018-02-23,153.84,155.27,153.62,155.12,3134969.0,0.0,1.0,153.84,155.27,153.62,155.12,3134969.0
2018-02-26,155.58,156.72,155.11,156.5,2775464.0,0.0,1.0,155.58,156.72,155.11,156.5,2775464.0
2018-02-27,156.63,156.94,153.84,153.92,3077157.0,0.0,1.0,156.63,156.94,153.84,153.92,3077157.0
2018-02-28,154.4,154.98,150.98,151.11,3510757.0,0.0,1.0,154.4,154.98,150.98,151.11,3510757.0
2018-03-01,151.33,151.45,146.625,147.21,4626293.0,0.0,1.0,151.33,151.45,146.625,147.21,4626293.0
2018-03-02,146.32,148.79,146.13,148.14,3403861.0,0.0,1.0,146.32,148.79,146.13,148.14,3403861.0
2018-03-05,147.57,148.98,146.52,148.51,3399986.0,0.0,1.0,147.57,148.98,146.52,148.51,3399986.0
2018-03-06,149.36,149.92,148.32,149.33,2781426.0,0.0,1.0,149.36,149.92,148.32,149.33,2781426.0
